Title,Year,Agency,Keywords
Randomized Safety Inspections and Risk Exposure on the Job: Quasi-experimental Estimates of the Value of a Statistical Life,2019,American Economic Journal: Economic Policy,evidence;economics;discussion;data;center;census;business;impact;journal;economic
Randomized Safety Inspections and Risk Exposure on the Job: Quasi-Experimental Estimates of the Value of a Statistical Life,2014,Center for Economic Studies,census;business;firms;working;rdc;paper;studies;center;discussion;economic
"A New Estimate of the Impact of OSHA Inspections on Manufacturing Injury Rates, 1998-2005",2012,American Journal of Industrial Medicine,data;center;census;business;firms;economic;rdc;journal;impact;manufacturing
A Quasi-Experimental Approach to Identifying Compensating Wage Differentials for Occupational Risks,2012,Center for Economic Studies,census;business;firms;working;rdc;paper;studies;center;discussion;economic
Race-Specific Agglomeration Economies: Social Distance and the Black-White Wage Gap,2013,NBER,economic;discussion;data;center;census;business;rdc;paper;working;firms
Race-specific Urban Wage Premia and the Black-White Wage Gap,2018,Journal of Urban Economics,discussion;data;center;census;business;impact;rdc;journal;firms;economics
Wage Premia in Employment Clusters: Agglomeration or Worker Heterogeneity?,2010,Center for Economic Studies,census;business;working;economic;rdc;paper;studies;center;discussion;firms
Wage Premia in Employment Clusters: How Important is Worker Heterogeneity?,2013,Journal of Labor Economics,discussion;data;center;census;business;rdc;labor;journal;firms;economics
Race-Specific Agglomeration Economies: Social Distance and the Black-White Wage Gap,2013,Center for Economic Studies,census;business;working;economic;rdc;paper;studies;center;discussion;firms
Earnings Responses to Social Security Reform,2006,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
The Distributional Effects of an Investment-based Social Security System,2002,"M. Feldstein & J. Liebman, eds., The Distributional Aspects of Social Security and Social Security Reform, NBER Conference Report series",economics;economic;discussion;data;center;census;business;impact;working;university
Redistribution in the Current U.S. Social Security System,2002,"M. Feldstein & J. Liebman, eds., The Distributional Aspects of Social Security and Social Security Reform, NBER Conference Report series",economics;economic;discussion;data;center;census;business;impact;working;university
Should Taxes Be Based on Lifetime Income? Vickrey Taxation Revisited,2005,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
NBER Patent Data-BR Bridge: User Guide and Technical Documentation,2010,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;data
Essays on Learning and Innovation,2007,"Univeristy of California, Los Angeles",economics;economic;discussion;data;center;census;business;impact;working;university
"New Plant Venture Performance Differences Among Incumbent, Diversifying, and Entrepreneurial Firms: The Impact of Industry Learning Intensity",2011,Management Science,economics;economic;discussion;data;center;census;business;working;impact;firms
Industry Learning Environments and the Heterogeneity of Firm Performance,2010, Strategic Management Journal,economics;economic;discussion;data;center;census;business;impact;firm;journal
What Happens When Firms Patent? New Evidence from U.S. Economic Census Data,2008,Center for Economic Studies,business;studies;center;working;evidence;firms;papers;data;economic;census
What Happens When Firms Patent? New Evidence from U.S. Economic Census Data,2011,Review of Economics and Statistics,center;business;impact;working;economic;evidence;firms;census;economics;data
Industry Learning Environments and the Heterogeneity of Firm Performance,2006,Center for Economic Studies,data;business;firms;economic;studies;center;working;firm;census;papers
Industry Learning Environments and the Heterogeneity of Firm Performance,2006,Proceedings of the Sixty-fifth Annual Meeting of the Academy of Management (CD),economics;economic;discussion;data;center;census;business;impact;working;firm
A tale of two cities: physical form and neighborhood satisfaction in metropolitan Portland and Charlotte,2008,Journal of the American Planning Association,evidence;economics;economic;discussion;data;center;census;business;impact;journal
Resident Perceptions of Crime: How Similar are They to Official Crime Rates?,2007,Center for Economic Studies,discussion;data;business;firms;economic;studies;center;working;census;papers
Resident perceptions of crime: How much is “bias” and how much is micro-neighborhood effects?,2010,Criminology,evidence;economics;economic;discussion;data;center;census;business;impact;working
"Segregation Through the Lens of Housing Unit Transition: What Roles do the Prior Residents, the Local Micro-Neighborhood, and the Broader Neighborhood Play?",2012,Demography,economics;economic;discussion;data;center;census;business;impact;working;rdc
Neighborhood structure and crime and disorder as a case in point,2007,American Sociological Review,evidence;economics;economic;discussion;data;center;census;business;impact;working
Social Distance and Social Change: How Neighborhoods Change Over Time,2006,University of North Carolina Chapel Hill,economics;economic;discussion;data;center;census;business;impact;working;university
"IPO Waves, Product Market Competition, and the Going Public Decision: Theory and Evidence",2012,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;evidence;market
The Going Public Decision and the Product Market,2010,Review of Financial Studies,economic;discussion;data;center;census;business;firms;working;studies;market
Product Market Characteristics and the Choice between IPOs and Acquisitions,2018,Journal of Financial and Quantitative Analysis,economic;discussion;data;center;census;business;firms;rdc;journal;market
The Effects of Corporate Spin-offs on Productivity,2014,Journal of Corporate Finance,discussion;data;center;census;business;firms;rdc;journal;productivity;market
"IPO Waves, Product Market Competition, and the Going Public Decision: Theory and Evidence",2011,Journal of Financial Economics,discussion;data;center;census;business;impact;evidence;journal;economics;market
How Does Venture Capital Financing Improve Efficiency in Private Firms? A Look Beneath the Surface,2011,Review of Financial Studies,economic;discussion;data;center;census;business;working;firms;market;studies
How Does Venture Capital Financing Improve Efficiency in Private Firms? A Look Beneath the Surface,2008,Center for Economic Studies,data;business;economic;studies;center;working;firms;census;papers;market
The Going Public Decision and the Product Market,2008,Center for Economic Studies,data;business;firms;economic;studies;center;working;census;papers;market
How Do Venture Capitalists Create Value for Entrepreneurial Firms? A Review of the Literature,2010,"Douglas J. Cumming, ed., Venture Capital: Investment Strategies, Structures, and Policies.  John Wiley & Sons, Inc.",economic;discussion;data;center;census;business;impact;working;firms;market
Migration in Arctic Alaska: Empirical Evidence of the Stepping Stones Hypothesis,2014,Migration Studies,discussion;data;center;census;business;firms;working;rdc;studies;evidence
Migration Decisions in Arctic Alaska: Empirical Evidence of the Stepping Stones Hypothesis,2010,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;evidence
"Regional Industrial Dominance, Agglomeration Economies, and Manufacturing Plant Productivity",2007,Center for Economic Studies,business;firm;economic;studies;center;working;census;papers;manufacturing;productivity
